center_frequency,feed_center,feed_h,feed_r1,freq_step,ground_thickness,lumpedport_D,lumpedport_r,num_of_freq_points,patch_length,patch_name,patch_width,signal_layer_thickness,start_frequency,stop_frequency,sub_high,sub_length,sub_width,sweep_type,unit,Directivity,Directivity_Phi,Directivity_Theta,Directivity_Total,Directivity_dB,Gain,Gain_Phi,Gain_Theta,Gain_Total,Gain_dB,Phi(deg),RealizedGain,RealizedGain_Phi,RealizedGain_Theta,RealizedGain_Total,RealizedGain_dB,Theta(deg),_极值列,_极值数值,_极值类型,rEPhi_Imag,rEPhi_Real,rETheta_Imag,rETheta_Real,rETotal,Freq [GHz],_最小值,_最小值所在列名,"dB(S(ground_T1,ground_T1)) []"
2.5,6.3,1.575,0.5,0.01GHz,0.035,1.15,1.5,201.0,41.492664506137416,Patch,45.1065768479405,0.035,2.0,3.0,1.575,50.0,60.0,Interpolating,GHz,4.917763078689509,1.5935170491827797,3.324246029506728,4.917763078689509,6.917676020569711,4.697094222594467,1.522013079027142,3.1750811435673234,4.697094222594467,6.7182927211478365,-145.0,0.14654933974494735,0.047486808065646834,0.0990625316793005,0.14654933974494735,-8.340161338667736,0.0,RealizedGain,0.14654933974494735,max,-0.007444508869562671,-0.1686337314263853,0.01283711330170144,0.2434627852953332,0.296532756013189,2.21,-21.1649922045576,"dB(S(ground_T1,ground_T1)) []",-21.1649922045576
2.5,6.3,1.575,0.5,0.01GHz,0.035,1.15,1.5,201.0,40.12500431849342,Patch,54.94762984716889,0.035,2.0,3.0,1.575,50.0,60.0,Interpolating,GHz,5.3788080552444235,0.04133149232850576,5.337476562915916,5.3788080552444235,7.30686046599091,5.255817017395846,0.04038641247343321,5.215430604922412,5.255817017395846,7.206402367422481,-175.0,0.34478159634116745,0.002649348658257219,0.3421322476829102,0.34478159634116745,-4.624559238820917,0.0,RealizedGain,0.34478159634116745,max,-0.004426263181532815,-0.03962391751145646,0.03077327489605276,0.4520367135061087,0.4548338503782879,2.28,-20.6305245793423,"dB(S(ground_T1,ground_T1)) []",-20.6305245793423
2.5,6.3,1.575,0.5,0.01GHz,0.035,1.15,1.5,201.0,32.46955506011022,Patch,54.921132493556456,0.035,2.0,3.0,1.575,50.0,60.0,Interpolating,GHz,4.695461280649331,0.13051669078712944,4.5649445898622005,4.695461280649331,6.7167826365218986,4.695461280649331,0.13051669078712944,4.5649445898622005,4.695461280649331,6.7167826365218986,-10.0,0.28877086875993385,0.00802677648340846,0.2807440922765253,0.28877086875993385,-5.394466205723934,5.0,RealizedGain,0.28877086875993385,max,-0.022043041882875015,0.06580489082693074,-0.16479588736990078,0.3758892647014156,0.4162530518374591,2.825,-12.5529325565139,"dB(S(ground_T1,ground_T1)) []",-12.5529325565139
2.5,6.3,1.575,0.5,0.01GHz,0.035,1.15,1.5,201.0,35.38775586720722,Patch,35.32720800259629,0.035,2.0,3.0,1.575,50.0,60.0,Interpolating,GHz,5.119316489018366,0.04560164736086116,5.073714841657502,5.119316489018366,7.092119795571681,5.065818808666887,0.04512510281448561,5.0206937058524,5.065818808666887,7.046496521336845,-175.0,0.6301878597981608,0.00561356279012201,0.6245742970080386,0.6301878597981608,-2.0052996751151566,0.0,RealizedGain,0.6301878597981608,max,-0.01660850389268108,0.05560912355713158,0.2243567564731034,-0.5695765555853436,0.614915948623827,2.685,-13.6777659447155,"dB(S(ground_T1,ground_T1)) []",-13.6777659447155
2.5,6.3,1.575,0.5,0.01GHz,0.035,1.15,1.5,201.0,33.47848614930065,Patch,57.92953016205907,0.035,2.0,3.0,1.575,50.0,60.0,Interpolating,GHz,4.74518775342059,0.0001742270636627381,4.745013526356926,4.74518775342059,6.762534008858284,4.738869261072494,0.0001739950702357571,4.738695266002257,4.738869261072494,6.7567472727336,0.0,0.35588908150654425,1.306702977470536e-05,0.35587601447676953,0.35588908150654425,-4.4868533572247165,5.0,RealizedGain,0.35588908150654425,max,-0.0027809755589115795,-0.0003264621172355161,-0.2016631100918656,0.41576751819260777,0.462102239291845,2.785,-9.86138085109727,"dB(S(ground_T1,ground_T1)) []",-9.86138085109727
2.5,6.3,1.575,0.5,0.01GHz,0.035,1.15,1.5,201.0,40.95501459003471,Patch,40.109498946262505,0.035,2.0,3.0,1.575,50.0,60.0,Interpolating,GHz,5.397646816358322,4.879526009389273,0.5181208069690476,5.397646816358322,7.322044640061954,5.275528110105871,4.769129493339742,0.506398616766128,5.275528110105871,7.222659414720155,-110.0,0.466356684933359,0.42159104721123314,0.04476563772212572,0.466356684933359,-3.3128179351491136,0.0,RealizedGain,0.466356684933359,max,-0.1100076452079361,-0.4907737826172364,0.03954807944309905,0.1590470522466859,0.5289807209385077,2.325,-14.0501379439842,"dB(S(ground_T1,ground_T1)) []",-14.0501379439842
2.5,6.3,1.575,0.5,0.01GHz,0.035,1.15,1.5,201.0,47.13938241124464,Patch,45.78746028595608,0.035,2.0,3.0,1.575,50.0,60.0,Interpolating,GHz,2.4583698786676376,2.4135178862798505,0.0448519923877881,2.4583698786676376,3.9064722606032416,2.2242394140326245,2.183659039967484,0.04058037406514161,2.2242394140326245,3.471815322792339,80.0,0.02802541661681107,0.027514103903590298,0.0005113127132207843,0.02802541661681107,-15.524479226032033,5.0,RealizedGain,0.02802541661681107,max,-0.00860416296153873,0.12819836054452033,-0.011691189201290229,-0.013042658878874853,0.12967515614851827,2.01,-11.6449913296944,"dB(S(ground_T1,ground_T1)) []",-11.6449913296944
2.5,6.3,1.575,0.5,0.01GHz,0.035,1.15,1.5,201.0,40.20701823673048,Patch,47.383850711513766,0.035,2.0,3.0,1.575,50.0,60.0,Interpolating,GHz,5.566870915542998,5.184412986468507,0.3824579290744899,5.566870915542998,7.456111510146199,5.515045895382785,5.136148474569653,0.3788974208131292,5.515045895382785,7.415491309246322,105.0,0.7108894159148408,0.6620495383720283,0.048839877542812354,0.7108894159148408,-1.4819795172196482,0.0,RealizedGain,0.7108894159148408,max,0.1588499891039471,0.6099227511392793,0.0384065893531312,0.1668219134104065,0.6531031299077357,2.36,-27.1344628110146,"dB(S(ground_T1,ground_T1)) []",-27.1344628110146
2.5,6.3,1.575,0.5,0.01GHz,0.035,1.15,1.5,201.0,40.44909195549323,Patch,42.109266062962874,0.035,2.0,3.0,1.575,50.0,60.0,Interpolating,GHz,5.486720693619063,2.6654227557387227,2.8212979378803382,5.486720693619063,7.393128526131703,5.38745436528056,2.617199646671081,2.7702547186094764,5.38745436528056,7.313836044698045,-45.0,0.6551144508181161,0.31825147703520346,0.3368629737829123,0.6551144508181161,-1.8368282059347947,0.0,RealizedGain,0.6551144508181161,max,-0.1251683542681007,-0.4186744175858249,-0.1193945382782001,-0.4334368353185696,0.626959273663494,2.355,-16.8747093660711,"dB(S(ground_T1,ground_T1)) []",-16.8747093660711
2.5,6.3,1.575,0.5,0.01GHz,0.035,1.15,1.5,201.0,41.07946969013457,Patch,26.2344992658083,0.035,2.0,3.0,1.575,50.0,60.0,Interpolating,GHz,5.312599313592839,3.550934622685621,1.7616646909072178,5.312599313592839,7.253070618239581,5.133767973808516,3.431403982677321,1.702363991131195,5.133767973808516,7.104362363705362,-55.0,0.6252929392098773,0.4179450050900976,0.20734793411977953,0.6252929392098773,-2.039164753326072,0.0,RealizedGain,0.6252929392098773,max,-0.197327544299208,-0.4602550935712919,-0.1403170131269026,-0.3236090654736115,0.6125231443194895,2.36,-6.31098149265853,"dB(S(ground_T1,ground_T1)) []",-6.31098149265853
